   1.8200000e+01  -1.1633739e+01  -1.6034845e+01   5.5075933e+01             NaN             NaN
   1.8250000e+01   6.3016087e-01   9.3419576e+00  -1.1836482e+01             NaN             NaN
   1.8300000e+01   2.5157961e+01   9.0271573e+00   1.7872290e+01             NaN             NaN
   1.8350000e+01   1.4008961e+01   2.5502189e+01   1.1482472e+01             NaN             NaN
   1.8400000e+01   5.8604961e+01  -1.3039865e+01  -5.0647228e+01             NaN             NaN
   1.8450000e+01   6.3064561e+01   3.1256140e+01  -3.0063867e+00             NaN             NaN
   1.8500000e+01   2.9617561e+01   4.9905647e+00   6.8764767e+00             NaN             NaN
   1.8550000e+01   3.7421861e+01   4.3100782e+00   1.3795025e+01             NaN             NaN
   1.8600000e+01   2.2472506e+02   6.7316817e+01   5.2027646e+01   2.3372440e-01   1.8437609e-01
   1.8650000e+01   2.7489556e+02   2.1067586e+02   2.2143116e+01   4.3831530e-01   6.2421924e-02
   1.8700000e+01   2.2806976e+02   1.0806229e+02   8.1770344e+01   3.2544157e-01   2.5920073e-01
   1.8750000e+01   3.3732996e+02  -1.1808752e+01   1.0634483e+02  -3.6962304e-02   2.4005973e-01
   1.8800000e+01   2.4144856e+02   2.9350614e+00   1.8727467e+02   1.2226355e-02   4.3674920e-01
   1.8850000e+01   2.0019726e+02   2.2034827e+01   2.0353848e+02   1.0077794e-01   5.0364397e-01
   1.8900000e+01   1.9908236e+02   1.1188810e+01   1.0411508e+02   5.4129001e-02   3.4294827e-01
   1.8950000e+01   1.4445226e+02   2.0511894e+01   1.7639996e+02   1.2632221e-01   5.4926030e-01
   1.9000000e+01   2.4144856e+02  -1.6246176e+00   1.2602871e+02  -6.8985726e-03   3.4300943e-01
   1.9050000e+01   1.5560126e+02  -4.1705600e+00   1.1737734e+02  -2.8057279e-02   4.3014607e-01
   1.9100000e+01   1.3887776e+02   6.4069834e+00   1.5283174e+02   4.4867463e-02   5.2372686e-01
   1.9150000e+01   1.7455456e+02   3.1566198e+01   1.1561998e+02   1.5550221e-01   3.9725429e-01
   1.9200000e+01   2.1357606e+02  -3.3847869e+01   2.0060747e+02  -1.9242253e-01   4.8511157e-01
   1.9250000e+01   2.0131216e+02   1.1677894e+02   1.4033039e+02   3.7133226e-01   4.0705674e-01
   1.9300000e+01   1.1657976e+02   3.1149626e+01   7.6926925e+01   2.1387819e-01   3.9576802e-01
   1.9350000e+01   1.5894596e+02  -1.7263896e+00   1.4911727e+02  -1.1183202e-02   4.8410033e-01
   1.9400000e+01   3.0499786e+02  -3.5179787e+00   9.4061277e+01  -1.1884318e-02   2.3583044e-01
   1.9450000e+01   1.3664796e+02   1.1161087e+01   1.4773094e+02   7.6781212e-02   5.1914219e-01
